,Item,Naive,SES,Arima,Basic LSTM,Stacked LSTM,RNN,GRU
34,M4A4 | Modern Hunter (Factory New),23.467531616417723,25.983445760721406,23.205356999689194,31.12241967668379,33.42655755907224,31.200743538223573,24.693760691303137
35,MAC-10 | Hot Snakes (Battle-Scarred),10.128594841686011,13.306422824052346,12.130911593658958,48.97310879471973,58.58754799791677,27.633851481564975,35.04900382954079
36,MAC-10 | Hot Snakes (Field-Tested),7.299149459599747,7.330734154350086,7.329487002199631,17.89532265850632,12.345561944963585,13.867461930233128,20.959139516475172
37,MAC-10 | Hot Snakes (Minimal Wear),11.84894063888447,11.686792764127992,11.822639146007251,31.017702583324937,15.349558205723836,23.983210184243344,26.288214666101236
38,MAG-7 | Cinquedea (Battle-Scarred),42.891525417839745,44.76339625353167,39.07434948453781,46.43575643598194,51.018759139674415,46.57822474084976,50.158970756714474
39,MAG-7 | Cinquedea (Factory New),14.562619502374647,12.06529248936173,12.210775579774095,21.96543915886524,29.96863517990076,21.715632415080453,42.32725870835508
40,MAG-7 | Cinquedea (Field-Tested),56.36253803037906,50.773250078014115,47.55874092019189,54.61079109766678,58.797568372139885,54.57977760120712,63.66387806812253
41,MAG-7 | Cinquedea (Minimal Wear),29.951196611309562,27.685048166474424,32.64304579263411,28.770046188430896,40.16682746959011,23.489724191420848,39.668831798662346
42,MAG-7 | Cinquedea (Well-Worn),30.35848278871903,30.752553231136993,27.005760245592427,24.499851771425917,27.265288666365084,31.464661883992957,29.277016163532068
43,MP5-SD | Oxide Oasis (Battle-Scarred),24.319446748487806,21.073638923893046,24.17463391413362,18.25160435290539,18.379387081686694,18.799295685407902,18.793374847016867
44,MP5-SD | Oxide Oasis (Factory New),7.338433528771022,7.771829319052285,7.764491578968028,14.607670938133344,15.458949446440458,9.867170722854487,11.18341614028715
45,MP5-SD | Oxide Oasis (Minimal Wear),3.444497995974432,3.518292806549644,3.444497995974432,11.416142658987154,12.732168914581134,12.973736537854665,11.36905517145874
46,MP7 | Whiteout (Factory New),21.113249563854936,21.89509641556027,23.32605141283279,44.452273996109014,64.93738205433385,18.494478747590517,15.905048084758404
47,MP9 | Bulldozer (Factory New),48.97563896078087,34.991549280905225,47.65319390479735,189.1271135849908,60.6470325493244,82.75095152491416,44.148872945071325
48,MP9 | Starlight Protector (Factory New),4.14338055302545,4.3269900310511815,11.33850467850218,8.07593296251002,8.314848142735572,9.350273153014506,7.222198258431341
49,MP9 | Wild Lily (Battle-Scarred),48.17257402138736,40.16818289235613,35.15626724948228,55.897641766649635,34.928283152614,48.566778220938346,74.70318650266154
50,MP9 | Wild Lily (Field-Tested),20.755322678366895,20.755322607558988,20.755322678366895,199.8729960419408,90.58157336599201,120.08081490773868,198.61050872273358
51,MP9 | Wild Lily (Minimal Wear),39.83182767715105,41.8662508768156,37.10593168254161,23.10438088665731,70.82507803031852,56.46531690388137,91.38351400985502
52,Negev | Mjölnir (Field-Tested),44.76294568993035,40.94389914974075,38.84994891244972,32.9976833599414,51.12796877271386,43.70040056178753,34.61887365247288
53,P250 | Nuclear Threat (Factory New),41.51980881593374,16.727292731198485,16.74655906766447,16.710888364812188,16.509232472725635,17.149935138183675,16.533929687271595
54,P90 | Astral Jörmungandr (Battle-Scarred),47.297968128179576,44.34794881495002,33.43018636264728,76.92551577012586,83.83280392232854,76.8602149862777,77.94808016301792
55,P90 | Run and Hide (Battle-Scarred),20.843653190364854,11.038310065026371,9.867663968102244,8.888839251597295,29.006351609368295,8.992827444339934,8.537064307529175
56,P90 | Run and Hide (Factory New),10.96734504188384,10.90831638991667,10.908315455698883,15.898321231726198,19.311796933169468,12.852787947802275,13.896588662634478
57,P90 | Run and Hide (Field-Tested),16.58613668607624,15.121441475441042,14.46040067980792,16.006621548835817,21.668786017357643,15.089399141869373,15.385510057125247
58,P90 | Run and Hide (Minimal Wear),7.53276493225565,8.22571629370862,8.22077302170661,24.26298187412486,27.179903161773225,7.556570092289686,8.001766981156578
59,P90 | Run and Hide (Well-Worn),17.61902728491499,11.340399983605327,11.295886358070701,16.83918067077615,14.602003098721987,12.827743914612673,10.095870774887484
60,PP-Bizon | Modern Hunter (Factory New),108.81099042199837,108.52199346972478,113.2808930884561,198.76279821387024,110.65553031872838,179.82822986766126,199.70475235433838
61,SG 553 | Hazard Pay (Factory New),9.140920186998178,11.29639376440367,11.226043125966488,19.66636624791625,20.458852075521058,20.265239008892767,19.87733893157101
62,SG 553 | Hazard Pay (Field-Tested),11.480989002408622,14.106865565537078,12.093047861176395,10.142802915909813,10.010255532996144,11.485480564164657,10.576963756100474
63,SG 553 | Hazard Pay (Minimal Wear),14.709428400831317,13.82057541490183,13.872938084951285,11.450457018193188,11.506288790930839,11.8915239304085,11.601913859024538
64,SSG 08 | Death Strike (Battle-Scarred),11.86266995224858,10.346622238695485,10.351705485618538,12.206443097323561,11.266624315449453,10.968074704620642,11.689386621844609
65,SSG 08 | Death Strike (Factory New),11.903474440387212,8.37354257282071,8.382285786342319,12.025524858858983,14.134791124758925,10.807379907808588,11.7659871770362
