,Item,SES,Arima,Basic LSTM,Stacked LSTM,RNN,GRU
84,Souvenir Glock-18 | Candy Apple (Field-Tested),0.7452512225143612,0.6521443871779615,1.1229419761150408,1.1692384842553942,0.9177798911347101,1.1825215015226584
85,Souvenir Glock-18 | Nuclear Garden (Factory New),1.2124208046953406,1.1687105026460376,2.3608153534172374,1.7852892427540195,1.589519748577945,1.3563452972011567
86,Souvenir M249 | Gator Mesh (Factory New),0.9938439035377215,0.8312026634003252,0.9139992319373271,0.9722957959246731,0.9562670613038068,0.9613381165980156
87,Souvenir M4A1-S | Boreal Forest (Minimal Wear),0.3400578397002647,0.35609481546807914,0.29707368351954244,0.35086053903094616,0.301177463402137,0.3061870769121372
88,Souvenir M4A1-S | Control Panel (Field-Tested),0.4037500224240331,,0.4099424905957588,0.49751874902103643,0.425801305102263,0.42002400330367085
89,Souvenir M4A1-S | Control Panel (Minimal Wear),0.8223889780268168,2.6174166704060084,1.5477618588378024,1.6245098393049344,1.2790241498513903,1.273606064588339
90,Souvenir M4A1-S | Control Panel (Well-Worn),1.414267460936857,1.4142671750340563,1.067152738314992,0.8548790740477034,0.8146366003726033,1.0361584349064177
91,Souvenir M4A1-S | Master Piece (Minimal Wear),1.0635507044063308,1.0632872928398576,0.9593903297732009,0.8660645525203332,0.6624884289233566,0.8331199286473834
92,Souvenir M4A4 | Urban DDPAT (Factory New),1.0033996395363645,1.2054080371438693,1.3533814269590085,1.2169859809826145,1.203558763845289,1.2199835734599414
93,Souvenir P250 | Exchanger (Battle-Scarred),164.878981448323,38.28946625621974,273.2806889281262,274.3186062503425,268.34662134186993,272.05905457287514
94,Souvenir P250 | Nuclear Threat (Minimal Wear),0.9915715840510833,0.9926935535793778,1.012328485257616,1.004046405180616,0.972909420547854,1.041254385942827
95,Souvenir P250 | Nuclear Threat (Well-Worn),0.649019140142409,0.6448428191887393,0.6471333689350962,0.6612236077461094,0.7818304180951156,0.6968653432702925
96,Souvenir P90 | Run and Hide (Minimal Wear),0.9923395432725719,2.424523778446164,2.6760632734412546,3.473022515723451,1.551499871958867,2.4673973604961166
97,Souvenir R8 Revolver | Amber Fade (Factory New),0.9473565078975945,0.9798036777804361,0.8855942726306649,0.9405456444947445,0.9155296213420069,0.8184054807383152
98,Souvenir R8 Revolver | Amber Fade (Minimal Wear),0.7928248732744138,1.1174779736245097,1.746585481429828,1.7310648941733475,1.5635050695763777,1.709620618222974
99,Souvenir SG 553 | Integrale (Battle-Scarred),1.5004409989009166,1.4860218728725874,22.83218489613285,2.3096564479417947,2.526016808725911,2.5377600272855916
100,Souvenir SG 553 | Integrale (Field-Tested),3.351737418343072,3.3668058841974946,9.420713348854436,13.11253761806598,11.106254254510905,11.847234972181864
101,Souvenir SG 553 | Integrale (Minimal Wear),1.0344044912797103,1.030717433597629,1.703054939096115,0.9477916890015554,0.6365318802821983,0.981108052224597
102,Souvenir SG 553 | Integrale (Well-Worn),1.875121810095289,1.8154643523115837,6.163866644471824,3.475946253555253,3.8615933261191935,5.007069856386455
103,Souvenir SSG 08 | Death Strike (Minimal Wear),0.4647676434290729,0.3209400385097419,0.3545696126226206,0.32826448095541605,0.27526905084946146,0.30162624172858143
104,Souvenir SSG 08 | Tropical Storm (Factory New),0.831427100162054,0.8311817229446895,0.778968803792741,0.8213414477039456,0.8075619993032418,0.7321808574339219
105,Souvenir Sawed-Off | Full Stop (Factory New),0.8304138991610212,1.0,1.236119340152484,1.0918079200759012,1.4608679477211908,1.1750653453581972
106,Souvenir UMP-45 | Fallout Warning (Factory New),0.7647636069051807,0.8891600661443061,0.6897918312216921,0.836266496457858,0.9961601062351021,0.8207738205482445
107,Souvenir USP-S | Night Ops (Minimal Wear),1.0148010493743864,1.0147862012718087,1.0818426037954925,1.1135901629027254,1.14320558216614,1.0981511303340645
108,Souvenir USP-S | Road Rash (Factory New),0.6280531769917652,0.6544798600819283,0.30227440871145694,0.4047349001282855,0.43943229430741343,0.40174532994400963
109,Souvenir USP-S | Road Rash (Minimal Wear),2.0586635195718075,1.803433593545674,4.987896228988336,6.138121596455298,8.472587079001979,14.734753591903726
110,Souvenir USP-S | Royal Blue (Factory New),1.761070475770018,1.9351927978733936,2.346791689156414,2.3615613391461525,2.2607536964106187,2.021430598940922
111,StatTrak™ AK-47 | Asiimov (Factory New),1.0297651127750644,0.8406326718020277,1.3721800282257959,1.6132312679768241,0.8703929203365295,0.9644135505673004
112,StatTrak™ AK-47 | Fuel Injector (Factory New),1.5414290202481327,1.8029117883005523,221.62707659014052,11.741785842059667,7.25154019306642,86.37670100240774
